"Category","Annual Mean","5-yr smooth"
"1901",2506.54,2329.82
"1902",2453.79,2459.37
"1903",2355.4,2580.38
"1904",3061.25,2684.31
"1905",2225.55,2762.61
"1906",2453.46,2806.76
"1907",2851.71,2810.15
"1908",3148.47,2779.48
"1909",2871.4,2726.94
"1910",3529.92,2664.77
"1911",2294.8,2605.18
"1912",2166.14,2559.89
"1913",2539.31,2534.2
"1914",1816.82,2529.16
"1915",2249.15,2545.71
"1916",3553.47,2584.81
"1917",2702.86,2647.18
"1918",3090.04,2727.5
"1919",2365.66,2814.06
"1920",2380.64,2894.85
"1921",3397.02,2957.85
"1922",3136.73,2991.15
"1923",2784.68,2990.04
"1924",2926.22,2961.87
"1925",2871.97,2915.17
"1926",3095.34,2858.45
"1927",2729.25,2800.22
"1928",2849.52,2747.46
"1929",3028.99,2702.92
"1930",2268.31,2668.68
"1931",2041.97,2646.81
"1932",2698.26,2639.37
"1933",2804.24,2647.07
"1934",3601.42,2664.45
"1935",2274.29,2684.27
"1936",2603.67,2699.31
"1937",2503.32,2702.34
"1938",2695.02,2687.19
"1939",3029.55,2655.83
"1940",2261.3,2614.07
"1941",2506.54,2567.76
"1942",2506.54,2522.74
"1943",2506.54,2484.74
"1944",2506.54,2457.91
"1945",2506.54,2445.23
"1946",2506.54,2449.64
"1947",2764.98,2474.1
"1948",2206.61,2521.31
"1949",2728.46,2586.14
"1950",2543.19,2654.2
"1951",2476.21,2710.57
"1952",2764.64,2740.3
"1953",2603.49,2728.59
"1954",2687.62,2672.85
"1955",2818,2593.53
"1956",3199.23,2513.67
"1957",2098.59,2456.29
"1958",2015.92,2444.4
"1959",2484.29,2489.92
"1960",2612.12,2570.51
"1961",2598.03,2657.27
"1962",2989.6,2721.24
"1963",2678.02,2733.53
"1964",2628.37,2673.21
"1965",2804.9,2561.11
"1966",2182.83,2431.54
"1967",2341.73,2318.83
"1968",2065.7,2257.31
"1969",1988.26,2276.6
"1970",2687.37,2363.9
"1971",2963.95,2483.89
"1972",2560.72,2601.05
"1973",2383.53,2679.85
"1974",2634.28,2686.77
"1975",2870.46,2622.85
"1976",2336.66,2518.25
"1977",2161.09,2404.05
"1978",2321.6,2311.33
"1979",2194.73,2270.64
"1980",2754.14,2290.77
"1981",2506.41,2351.61
"1982",2273.8,2431.05
"1983",2088.92,2506.98
"1984",2681.69,2557.33
"1985",2718.99,2568.88
"1986",2722.95,2547.18
"1987",2082.19,2500.16
"1988",2523.86,2435.78
"1989",2664.78,2361.99
"1990",2395.1,2287.77
"1991",1959.43,2225.79
"1992",1695.47,2189.52
"1993",2542.54,2192.43
"1994",2326.06,2248
"1995",2782.69,2364.97
"1996",2705.95,2524.11
"1997",2418.11,2695.86
"1998",1740.04,2850.67
"1999",3510.51,2958.98
"2000",3005.51,2994.63
"2001",3376.87,2967.07
"2002",2856.56,2907
"2003",3183.19,2845.41
"2004",2586.59,2813.3
"2005",2725.49,2840.26
"2006",2584.6,2926.49
"2007",3104.98,3044.48
"2008",3481.43,3165.64
"2009",3150.23,3261.36
"2010",2926.49,3303.37
"2011",3842.01,3281.56
"2012",3265.54,3212.89
"2013",3033.87,3116.53
"2014",2926.08,3011.64
"2015",2520.38,2917.38
"2016",2562.55,2846.42
"2017",3607.91,2795.94
"2018",2953.37,2760.81
"2019",2322.27,2735.91
"2020",2731.87,2716.13